username,repo_name,stars,repo_url
atom,atom,563000,github.com/atom/atom
themerdev,themer,44000,github.com/themerdev/themer
nteract,hydrogen,37000,github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,34000,github.com/shd101wyy/markdown-preview-enhanced
miniflux,v2,32000,github.com/miniflux/v2
atom,teletype,23000,github.com/atom/teletype
mehcode,awesome-atom,19000,github.com/mehcode/awesome-atom
mmcdole,gofeed,17000,github.com/mmcdole/gofeed
joefitzgerald,go-plus,15000,github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,15000,github.com/Glavin001/atom-beautify
simplepie,simplepie,14000,github.com/simplepie/simplepie
t9md,atom-vim-mode-plus,14000,github.com/t9md/atom-vim-mode-plus
ocaml,merlin,14000,github.com/ocaml/merlin
kurtmckee,feedparser,13000,github.com/kurtmckee/feedparser
MagicStack,MagicPython,13000,github.com/MagicStack/MagicPython
atom,apm,12000,github.com/atom/apm
file-icons,atom,12000,github.com/file-icons/atom
kettanaito,atomic-layout,10000,github.com/kettanaito/atomic-layout
atom,github,971,github.com/atom/github
nmdias,FeedKit,936,github.com/nmdias/FeedKit
danhper,atomic-chrome,929,github.com/danhper/atomic-chrome
nathanbuchar,atom-one-dark-terminal,926,github.com/nathanbuchar/atom-one-dark-terminal
jesseweed,seti-ui,880,github.com/jesseweed/seti-ui
fwcd,kotlin-language-server,797,github.com/fwcd/kotlin-language-server
prettier,prettier-atom,764,github.com/prettier/prettier-atom
raphamorim,lucario,728,github.com/raphamorim/lucario
atom-community,atom-script,726,github.com/atom-community/atom-script
jasonmunro,cypht,677,github.com/jasonmunro/cypht
jekyll,jekyll-feed,666,github.com/jekyll/jekyll-feed
jpmonette,feed,661,github.com/jpmonette/feed
